Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Irate_Upset_Canvas/,,2,"191,234",0,,
Video_Jealous_Gabby_Clause/,,0,,0,,
Video_Jealous_Parched_Analog/,,1,96,0,,
Video_Jittery_Functional_Playroom/,,1,204,0,,
Video_Jobless_Graceful_Memo/,,0,,0,,
Video_Joyous_Determined_Nick/,,1,183,0,,
Video_Joyous_Overrated_Acorn/,,2,"17,62",1,17,
Video_Joyous_Silly_Trap/,,0,,0,,
Video_Juicy_Tangible_Leisure/,,0,,0,,
Video_Jumpy_Steep_Flick/,,4,"111,134,156,169",0,,
Video_Juvenile_Skinny_Hurdle/,,1,23,0,,
Video_Kaput_Evil_Policy/,,2,"228,272",1,23,
Video_Knowing_Habitual_Seafood/,,3,"48,136,185",0,,
Video_Lacking_Short_Rug/,,0,,0,,
Video_Lamentable_Pointless_Pattern/,,0,,0,,
Video_Languid_Evil_Shred/,,1,77,1,77,
Video_Late_Sincere_Terrorist/,,2,"70,112",0,,
Video_Late_Tough_Enactment/,,0,,1,93,
Video_Laughable_Lively_Hundred/,,1,108,0,,
Video_Laughable_Moldy_Briefly/,,2,"21,50",0,,
Video_Lazy_Harmonious_Nudge/,,1,174,1,174,
Video_Lazy_Woebegone_Peace/,,2,"53,90",0,,
Video_Level_Shrill_Antler/,,2,"59,161",0,,
Video_Little_Coherent_Clamp/,,2,"16,167",0,,
Video_Lively_Elite_Brood/,,1,131,0,,
Video_Lonely_Quiet_Nest/,,1,110,1,164,
Video_Long_Black_Inventor/,,3,"27,100,227",2,"138,169",God knows how to describe this one
Video_Longing_Drab_Hello/,,1,57,1,57,
Video_Lopsided_Periodic_Mango/,,2,"29,85",9,"9,61,126,170,186,200,214,254,272",Scrunch movement behavior and did call it contractions
Video_Loutish_Versed_Inquiry/,,1,208,0,,
Video_Lovely_Productive_Burden/,,1,39,0,,
Video_Low_Salty_Alpaca/,,3,"55,201,254",0,,
Video_Lucky_Wasteful_Die/,,3,"70,118,243",1,118,
Video_Ludicrous_Worthless_Keep/,,1,186,11,"16,30,52,67,84,98,110,128,146,165,186",Scrunch behavior and did count as contraction
Video_Luxuriant_Dapper_Feeling/,,1,23,0,,
Video_Lyrical_Jumpy_Dig/,,6,"88,116,158,180,208,240",1,114,
Video_Macabre_Poised_Filing/,,3,"36,114,151",1,151,
Video_Macho_Lush_Finer/,,1,193,1,21,
Video_Madly_Ruthless_Hurdle/,,3,"51,72,147",0,,
Video_Magical_Grumpy_Hire/,,2,"135,200",4,"51,81,112,132",
Video_Makeshift_Wary_Cradle/,,0,,0,,
Video_Malicious_Dapper_Lemonade/,,3,"10,45,154",2,"10,54",
Video_Maniacal_Dark_Engineer/,,1,32,1,9,
Video_Marked_Deep_Tool/,,5,"17,26,66,94,214",0,,
Video_Mature_Understood_Assistance/,,3,"89,213,268",0,,
Video_Melodic_Vague_Subgroup/,,1,125,0,,
Video_Melted_Quickest_Certainty/,,6,"56,86,121,144,164,231",1,115,
Video_Melted_Wistful_Wetland/,,0,,0,,
Video_Merciful_Short_Lid/,,0,,0,,
Video_Mighty_Foolish_Gram/,,0,,0,,
Video_Mindless_Clever_Cupboard/,,0,,0,,
Video_Momentous_Moldy_Seafood/,,2,"54,164",0,,
Video_Muddy_Understood_Bunghole/,,5,"21,103,149,219,264",1,21,
Video_Mundane_Alleged_Refuse/,,4,"159,189,209,227",1,267,
Video_Mushy_Bewildered_Forestry/,,1,109,0,,
Video_Mute_Jittery_Alto/,,4,"35,68,97,151",1,35,
Video_Narrow_Fine_Patrimony/,,2,"92,231",0,,
Video_Nasty_Bewildered_Thief/,,1,9,1,9,
Video_Nasty_Finicky_Well/,,3,"99,163,211",0,,
Video_Needless_Busy_Discourse/,,0,,0,,
Video_Needy_Better_Intestine/,,1,255,1,255,
Video_Needy_Pleasant_Shear/,,1,51,0,,
Video_Nervous_Decorous_Generation/,,1,28,1,135,
Video_New_Cultured_Polo/,,0,,0,,
Video_New_Worthless_Sorrow/,,0,,0,,
Video_Nonchalant_Freezing_Duffel/,,1,163,0,,
Video_Numerous_Wild_Flytrap/,,2,"123,242",0,,
Video_Nutty_Jaded_Sorrow/,,0,,0,,Quiescent
Video_Oafish_Aggressive_Capacity/,,0,,0,,
Video_Oafish_Flowery_Walker/,,0,,0,,
Video_Obsolete_Careful_Middleman/,,2,"95,224",1,110,
Video_Obtainable_Odd_Doubling/,,0,,0,,
Video_Oceanic_Utopian_Juice/,,7,"50,75,117,166,200,224,268",2,"166,270",
Video_Open_Homeless_Lasagna/,,0,,0,,
Video_Open_Wrong_Roof/,,2,"198,231",1,231,
Video_Oval_Deserted_Sage/,,1,221,0,,
Video_Oval_Square_Grip/,,0,,0,,
Video_Painful_Shocking_Decimal/,,1,137,1,137,
Video_Painful_Synonymous_Ambience/,,0,,1,35,Worm left trough
Video_Parched_Chunky_Licorice/,,2,"57,140",0,,
Video_Pastoral_Alert_Bifocals/,,2,"72,234",0,,
Video_Perfect_Cold_Enactment/,,1,172,0,,
Video_Perfect_Raspy_Promotion/,,1,232,1,232,
Video_Periodic_Obedient_Contrail/,,1,172,1,172,
Video_Perpetual_Forgetful_Act/,,1,56,0,,
Video_Picayune_Harsh_Disease/,,2,"30,138",2,"138,228",
Video_Political_Many_Gymnastics/,,0,,0,,
Video_Powerful_Modern_Mule/,,2,"211,236",1,211,
Video_Powerful_Woebegone_Eardrum/,,3,"38,195,219",1,38,
Video_Precious_Dynamic_Duffel/,,4,"16,123,193,253",1,193,
Video_Premium_Different_Bias/,,0,,0,,"Moving weird and almost peristaltic or amoeboid, did not count as contraction"
Video_Prickly_Diligent_Die/,,4,"105,152,235,271",1,236,
Video_Prickly_Wistful_Propaganda/,,2,"45,80",1,261,
Video_Productive_Truculent_Cleaner/,,1,26,0,,
Video_Profuse_Annoying_Cassava/,,2,"181,239",1,181,
Video_Protective_Idiotic_Cement/,,1,182,0,,
Video_Proud_Laughable_Threat/,,3,"103,186,233",2,"103,187",
Video_Proud_Lavish_Loquat/,,3,"105,220,264",1,264,
Video_Psychotic_Boorish_Razor/,,1,74,1,73,
Video_Purple_Mindless_West/,,0,,0,,
Video_Purring_Low_Lid/,,7,"16,40,63,80,121,173,243",2,"41,80",
Video_Puzzled_Strange_Mix/,,1,142,9,"13,21,33,46,60,75,88,103,118",Scrunching movement
Video_Quick_Frightened_Dealing/,,2,"146,200",0,,
Video_Quizzical_Gusty_Lemonade/,,1,120,0,,
Video_Racial_Loose_Sleepiness/,,1,127,0,,
Video_Racial_Mighty_Snob/,,1,241,1,225,
Video_Ragged_Cloudy_Rainbow/,,0,,0,,
Video_Rampant_Afraid_Godfather/,,1,212,0,,
Video_Rare_Hulking_Technician/,,0,,0,,
Video_Redundant_Agreeable_Cement/,,1,225,0,,
Video_Relieved_Uptight_Trapezoid/,,4,"22,167,213,238",2,"22,166",
Video_Rich_Supreme_Keep/,,1,103,0,,
Video_Roasted_Luxuriant_Generation/,,2,"39,254",2,"58,138",Trough shaking
Video_Roasted_Upbeat_Kumquat/,,1,98,0,,
Video_Robust_Verdant_Seafood/,,1,160,0,,
