Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
2025_10_17_14_30_05_trial_1_TC,TC-7,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_10_47_52_trial_1_TP,TP-3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_14_35_32_trial_1_TP,TP-3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_10_37_01_trial_1_TP,TP-3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_14_43_14_trial_1_TP,TP-3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_10_24_06_trial_1_TP,TP-3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_14_48_01_trial_1_TP,TP-3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_10_34_57_trial_1_TP,TP-3,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_14_45_34_trial_1_TP,TP-3,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_11_00_58_trial_1_TP,TP-4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_14_49_36_trial_1_TP,TP-4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_10_52_34_trial_1_TP,TP-4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_14_57_00_trial_1_TP,TP-4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_10_37_16_trial_1_TP,TP-4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_15_00_56_trial_1_TP,TP-4,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_10_48_37_trial_1_TP,TP-4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_14_54_47_trial_1_TP,TP-4,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
