Run_Date,Start Time,Run_Name,Species,Group,Troupe,Block,Worms_Day,Block Type,Data_Folder,No. worms,Trough No.,Worm Runner
20250408,14:27,GD-Spring no-Montjuic Day 4 Block 1,GD-S,CC,CSdimuvUSshock,1,4,CC,2025_04_08_14_27_48_trial_1_CC,5,"Hybrid, long electrode rail",ZK
20250408,15:37,GD-Spring no-Montjuic Day 4 Block 2,GD-S,CC,CSdimuvUSshock,2,4,CC,2025_04_08_15_37_56_trial_1_CC,5,"Hybrid, long electrode rail",ZK
20250409,11:23,GD-Spring no-Montjuic Day 5 Block 1,GD-S,CC,CSdimuvUSshock,1,5,CC,2025_04_09_11_23_14_trial_1_CC,5,"Hybrid, long electrode rail",ZK
20250409,17:11,GD-Spring no-Montjuic Day 5 Block 2,GD-S,CC,CSdimuvUSshock,2,5,CC,2025_04_09_17_11_13_trial_1_CC,5,"Hybrid, long electrode rail",MCS
20250410,13:30,GD-Spring no-Montjuic Day 6 Block 1,GD-S,CC,CSdimuvUSshock,1,6,CC,2025_04_10_13_30_00_trial_1_CC,5,"Hybrid, long electrode rail",ZK
20250410,14:52,GD-Spring no-Montjuic Day 6 Block 2,GD-S,CC,CSdimuvUSshock,2,6,CC,2025_04_10_14_52_38_trial_1_CC,5,"Hybrid, long electrode rail",ZK
20250411,13:21,GD-Spring no-Montjuic Day 7 Block 1,GD-S,CC,CSdimuvUSshock,1,7,CC,2025_04_11_13_21_33_trial_1_CC,5,"Hybrid, long electrode rail",ZK
20250411,14:27,GD-Spring no-Montjuic Day 7 Block 2,GD-S,CC,CSdimuvUSshock,2,7,CC,2025_04_11_14_27_03_trial_1_CC,5,"Hybrid, long electrode rail",ZK
20250602,15:18,Vis-UV Penultimate Block,SM,CC,Vis-UV-1,1,tbd,CC,2025_06_02_15_18_17_trial_1_CC,6,Donuts,ZK
20250602,15:37,Vis-UV Final Block,SM,CC,Vis-UV-1,2,tbd,CC,2025_06_02_15_37_46_trial_1_CC,6,Donuts,ZK
20250729,10:10,GD TC Blue-Shock CC Tr5-trapped Block 1,GD-2,CC,TC-5,1,1,CC,2025_07_29_10_10_33_trial_1_TC,6,Milled-1,ZK
20250729,10:22,GD TC Blue-Shock CC Tr2 Block 1,GD-2,CC,TC-2,1,1,CC,2025_07_29_10_22_03_trial_1_TC,6,Olympic-A,ZK
20250729,10:32,GD TC Blue-Shock CC Tr3 Block 1,GD-2,CC,TC-3,1,1,CC,2025_07_29_10_32_00_trial_1_TC,6,Olympic-A,ZK
20250729,10:41,SM-S TC Blue-Shock CC Tr4 Block 1,SM-S,CC,TC-4,1,1,CC,2025_07_29_10_41_04_trial_1_TC,6,Olympic-A,ZK
20250729,13:46,GD TC Blue-Shock CC Tr5-trapped Block 2,GD-2,CC,TC-5,2,1,CC,2025_07_29_13_46_05_trial_1_TC,6,Milled-1,ZK
20250729,13:55,GD TC Blue-Shock CC Tr2 Block 2,GD-2,CC,TC-2,2,1,CC,2025_07_29_13_55_19_trial_1_TC,6,Olympic-A,ZK
20250729,14:08,GD TC Blue-Shock CC Tr3 Block 2,GD-2,CC,TC-3,2,1,CC,2025_07_29_14_08_07_trial_1_TC,6,Olympic-A,ZK
20250729,14:19,SM-S TC Blue-Shock CC Tr4 Block 2,SM-S,CC,TC-4,2,1,CC,2025_07_29_14_19_02_trial_1_TC,6,Olympic-A,ZK
20250730,10:05,GD TC Blue-Shock CC Tr5-trapped Block 3,GD-2,CC,TC-5,3,2,CC,2025_07_30_10_05_58_trial_1_TC,6,Milled-1,ZK
20250730,10:17,GD TC Blue-Shock CC Tr2 Block 3,GD-2,CC,TC-2,3,2,CC,2025_07_30_10_17_02_trial_1_TC,6,Olympic-A,ZK
20250730,10:33,GD TC Blue-Shock CC Tr3 Block 3,GD-2,CC,TC-3,3,2,CC,2025_07_30_10_33_39_trial_1_TC,6,Olympic-A,ZK
20250730,12:09,SM-S TC Blue-Shock CC Tr4 Block 3,SM-S,CC,TC-4,3,2,CC,2025_07_30_12_09_36_trial_1_TC,6,Olympic-A,ZK
20250730,14:28,GD TC Blue-Shock CC Tr5-trapped Block 4,GD-2,CC,TC-5,4,2,CC,2025_07_30_14_28_11_trial_1_TC,6,Milled-1,ZK
20250730,14:45,GD TC Blue-Shock CC Tr2 Block 4,GD-2,CC,TC-2,4,2,CC,2025_07_30_14_45_13_trial_1_TC,6,Milled-2,ZK
20250730,14:55,GD TC Blue-Shock CC Tr3 Block 4,GD-2,CC,TC-3,4,2,CC,2025_07_30_14_55_13_trial_1_TC,6,Milled-2,ZK
20250730,15:09,SM-S TC Blue-Shock CC Tr4 Block 4,SM-S,CC,TC-4,4,2,CC,2025_07_30_15_09_06_trial_1_TC,6,Milled-2,ZK
20250731,10:22,GD TC Blue-Shock CC Tr5-trapped Block 5,GD-2,CC,TC-5,5,3,CC,2025_07_31_10_22_50_trial_1_TC,6,Milled-1,ZK
20250731,10:41,GD TC Blue-Shock CC Tr2 Block 5,GD-2,CC,TC-2,5,3,CC,2025_07_31_10_41_11_trial_1_TC,6,Milled-2,ZK
20250731,10:53,GD TC Blue-Shock CC Tr3 Block 5,GD-2,CC,TC-3,5,3,CC,2025_07_31_10_53_00_trial_1_TC,6,Milled-2,ZK
20250731,11:12,SM-S TC Blue-Shock CC Tr4 Block 5,SM-S,CC,TC-4,5,3,CC,2025_07_31_11_12_19_trial_1_TC,6,Milled-2,ZK
20250731,14:11,GD TC Blue-Shock CC Tr5-trapped Block 6,GD-2,CC,TC-5,6,3,CC,2025_07_31_14_11_02_trial_1_TC,6,Milled-1,ZK
20250731,14:23,GD TC Blue-Shock CC Tr2 Block 6,GD-2,CC,TC-2,6,3,CC,2025_07_31_14_23_01_trial_1_TC,6,Milled-2,ZK
20250731,14:41,GD TC Blue-Shock CC Tr3 Block 6,GD-2,CC,TC-3,6,3,CC,2025_07_31_14_40_54_trial_1_TC,6,Milled-2,ZK
20250731,14:51,SM-S TC Blue-Shock CC Tr4 Block 6,SM-S,CC,TC-4,6,3,CC,2025_07_31_14_51_01_trial_1_TC,6,Milled-2,ZK
20250801,9:47,GD TC Blue-Shock CC Tr5-trapped Block 7,GD-2,CC,TC-5,7,4,CC,2025_08_01_09_47_24_trial_1_TC,6,Milled-1,ZK
20250801,9:57,GD TC Blue-Shock CC Tr2 Block 7,GD-2,CC,TC-2,7,4,CC,2025_08_01_09_57_03_trial_1_TC,6,Milled-2,ZK
20250801,10:08,GD TC Blue-Shock CC Tr3 Block 7,GD-2,CC,TC-3,7,4,CC,2025_08_01_10_08_20_trial_1_TC,6,Milled-2,ZK
20250801,10:19,SM-S TC Blue-Shock CC Tr4 Block 7,SM-S,CC,TC-4,7,4,CC,2025_08_01_10_19_05_trial_1_TC,6,Milled-2,ZK
20250801,14:07,GD TC Blue-Shock CC Tr5-trapped Block 8,GD-2,CC,TC-5,8,4,CC,2025_08_01_14_07_09_trial_1_TC,6,Milled-1,ZK
20250801,14:17,GD TC Blue-Shock CC Tr2 Block 8,GD-2,CC,TC-2,8,4,CC,2025_08_01_14_17_03_trial_1_TC,6,Milled-2,ZK
20250801,14:33,GD TC Blue-Shock CC Tr3 Block 8,GD-2,CC,TC-3,8,4,CC,2025_08_01_14_33_13_trial_1_TC,6,Milled-2,ZK
20250801,14:45,SM-S TC Blue-Shock CC Tr4 Block 8,SM-S,CC,TC-4,8,4,CC,2025_08_01_14_45_36_trial_1_TC,6,Milled-2,ZK
20250916,10:23,GD TC Blue-Shock PC Tr1 Block 1,GD-2,PC,TP-1,1,1,PC,2025_09_16_10_23_00_trial_1_TP,6,Milled-2,ZK
20250916,11:16,GD TC Blue-Shock PC Tr2 Block 1,GD-2,PC,TP-2,1,1,PC,Footage not saved ,6,Milled-2,ZK
20250916,11:33,GD-MI TC Blue-Shock TC-MI-1 Block 1,GD-MI,CC,TC-MI-1,1,1,CC,2025_09_16_11_30_40_trial_1_TC,6,Milled-2,ZK
20250916,15:06,GD TC Blue-Shock PC Tr1 Block 2,GD-2,PC,TP-1,2,1,PC,2025_09_16_15_06_14_trial_1_TP,6,Milled-2,ZK
20250916,14:48,GD TC Blue-Shock PC Tr2 Block 2,GD-2,PC,TP-2,2,1,PC,2025_09_16_14_48_45_trial_1_TP,6,Milled-2,ZK
20250916,15:21,GD-MI TC Blue-Shock TC-MI-1 Block 2,GD-MI,CC,TC-MI-1,2,1,CC,2025_09_16_15_21_23_trial_1_TC,6,Milled-2,ZK
20250917,10:18,GD TC Blue-Shock PC Tr1 Block 3,GD-2,PC,TP-1,3,2,PC,2025_09_17_10_18_16_trial_1_TP,6,Milled-2,ZK
20250917,10:40,GD TC Blue-Shock PC Tr2 Block 3,GD-2,PC,TP-2,3,2,PC,2025_09_17_10_40_29_trial_1_TP,6,Milled-2,ZK
20250917,10:54,GD-MI TC Blue-Shock TC-MI-1 Block 3,GD-MI,CC,TC-MI-1,3,2,CC,2025_09_17_10_54_13_trial_1_TC,6,Milled-2,ZK
20250917,14:23,GD TC Blue-Shock PC Tr1 Block 4,GD-2,PC,TP-1,4,2,PC,2025_09_17_14_23_27_trial_1_TP,6,Milled-2,ZK
20250917,14:39,GD TC Blue-Shock PC Tr2 Block 4,GD-2,PC,TP-2,4,2,PC,2025_09_17_14_39_26_trial_1_TP,6,Milled-2,ZK
20250917,14:52,GD-MI TC Blue-Shock TC-MI-1 Block 4,GD-MI,CC,TC-MI-1,4,2,CC,2025_09_17_14_52_34_trial_1_TC,6,Milled-2,ZK
20250918,10:11,GD TC Blue-Shock PC Tr1 Block 5,GD-2,PC,TP-1,5,3,PC,2025_09_18_10_11_39_trial_1_TP,6,Milled-2,ZK
20250918,10:24,GD TC Blue-Shock PC Tr2 Block 5,GD-2,PC,TP-2,5,3,PC,2025_09_18_10_24_57_trial_1_TP,6,Milled-2,ZK
20250918,10:38,GD-MI TC Blue-Shock TC-MI-1 Block 5,GD-MI,CC,TC-MI-1,5,3,CC,2025_09_18_10_38_29_trial_1_TC,6,Milled-2,ZK
20250918,14:20,GD TC Blue-Shock PC Tr1 Block 6,GD-2,PC,TP-1,6,3,PC,2025_09_18_14_20_24_trial_1_TP,6,Milled-2,ZK
20250918,14:34,GD TC Blue-Shock PC Tr2 Block 6,GD-2,PC,TP-2,6,3,PC,2025_09_18_14_34_09_trial_1_TP,6,Milled-2,ZK
20250918,14:47,GD-MI TC Blue-Shock TC-MI-1 Block 6,GD-MI,CC,TC-MI-1,6,3,CC,2025_09_18_14_47_35_trial_1_TC,6,Milled-2,ZK
20250919,10:16,GD TC Blue-Shock PC Tr1 Block 7,GD-2,PC,TP-1,7,4,PC,2025_09_19_10_16_22_trial_1_TP,6,Milled-2,ZK
20250919,10:27,GD TC Blue-Shock PC Tr2 Block 7,GD-2,PC,TP-2,7,4,PC,2025_09_19_10_27_01_trial_1_TP,6,Milled-2,ZK
20250919,10:41,GD-MI TC Blue-Shock TC-MI-1 Block 7,GD-MI,CC,TC-MI-1,7,4,CC,2025_09_19_10_41_07_trial_1_TC,6,Milled-2,ZK
20250919,13:34,GD TC Blue-Shock PC Tr1 Block 8,GD-2,PC,TP-1,8,4,PC,2025_09_19_13_34_06_trial_1_TP,6,Milled-2,ZK
20250919,13:43,GD TC Blue-Shock PC Tr2 Block 8,GD-2,PC,TP-2,8,4,PC,2025_09_19_13_43_41_trial_1_TP,6,Milled-2,ZK
20250919,13:53,GD-MI TC Blue-Shock TC-MI-1 Block 8,GD-MI,CC,TC-MI-1,8,4,CC,2025_09_19_13_53_26_trial_1_TC,6,Milled-2,ZK
20251014,10:25,GD TC Blue-Shock CC Tr6 Block 1,GD-2,CC,TC-6,1,1,CC,2025_10_14_10_25_19_trial_1_TC,6,Milled-2,ZK
20251014,10:35,GD TC Blue-Shock CC Tr7 Block 1,GD-2,CC,TC-7,1,1,CC,2025_10_14_10_35_03_trial_1_TC,6,Milled-2,ZK
