Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,,,,,
,,1 = head turn,4,PC,5,0,0,0,0,0,0,,,,,
,,2 = contraction,4,PC,6,0,0,-1,0,0,0,,,,,
,,3 = contraction + turn ,4,PC,7,0,0,0,-1,0,0,,,,,
,,X = quiescent,4,PC,8,0,0,0,0,0,0,,,,,
,,"H = hidden, occluded",4,PC,9,0,0,0,-1,0,0,,,,,
,,,4,PC,10,0,0,0,0,0,0,,,,,
,,,4,PC,11,0,0,0,0,0,0,,,,,
,,,4,PC,12,0,0,0,0,0,0,,,,,
,,,4,PC,13,0,0,0,0,0,-1,,,,,
,,,4,PC,14,0,0,0,0,0,0,,,,,
,,,4,PC,15,0,0,0,0,0,0,,,,,
,,,4,PC,16,0,0,0,0,0,0,,,,,
,,,4,PC,17,0,0,0,0,0,0,,,,,
,,,4,PC,18,0,0,0,0,0,0,,,,,
,,,4,PC,19,0,0,0,0,0,0,,,,,
,,,4,PC,20,0,0,0,0,0,0,,,,,
,,,4,PC,21,0,0,0,0,0,0,,,,,
,,,4,PC,22,0,0,0,0,0,0,,,,,
,,,4,PC,23,0,0,0,0,0,0,,,,,
,,,4,PC,24,0,0,0,0,0,0,,,,,
,,,4,PC,25,1,0,1,1,1,1,,,,,
2025_02_07_08_21_35_trial_1_CC,R1_2,Milled trough + attached electrodes,5,CC,1,1,-1,1,1,0,1,,,,,
,,20 trials ,5,CC,2,1,0,1,1,1,1,,,,,
,,20s ITI,5,CC,3,1,0,1,1,0,1,,,,,
,,All CRs are turns or contractions,5,CC,4,1,0,1,0,0,1,,,,,
,,CC High,5,CC,5,0,0,1,0,1,0,,,,,
,,,5,CC,6,1,0,1,1,-1,1,,,,,
,,,5,CC,7,0,0,1,1,0,1,,,,,
,,,5,CC,8,1,0,0,1,0,1,,,,,
,,,5,CC,9,0,1,1,1,0,0,,,,,
,,,5,CC,10,0,0,1,1,0,1,,,,,
,,2025_02_07_09_01_04_trial_1_CC,5,CC,11,1,0,1,1,1,1,,,,,
,,,5,CC,12,1,1,1,1,0,1,,,,,
,,,5,CC,13,0,0,0,0,1,0,,,,,
,,,5,CC,14,1,0,-1,0,0,0,,,,,
,,,5,CC,15,1,1,1,0,1,1,,,,,
,,,5,CC,16,1,0,0,1,0,1,,,,,
