Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
,TP-1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,0,0,1,"I don't like that the light indicator is on during the shock trials. Ran and watched a copy run, don't see that shock-light overlap (neither L indic or real L). W4 on shock was already bent weird."
2025_09_16_15_06_14_trial_1_TP,TP-1,1,2,1,1,4,2,3,4,7,0,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NS = no stimulus, light or shock. This has to be an error that I need to look into. Could botch everything. Don't like the stim-end contractions, either."
,TP-1,1,2,2,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,
,TP-1,1,2,3,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,
2025_09_17_10_18_16_trial_1_TP,TP-1,2,3,1,3,8,3,5,0,12,0,1,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't like these light-off flinches.
,TP-1,2,3,2,5,6,1,1,0,5,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,TP-1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,
2025_09_17_14_23_27_trial_1_TP,TP-1,2,4,1,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,"Hate the no stimulus indicators coming on. The clamps are clearly connected. Ran a test run and the shock indicators don't come on for this Day 2 PM setting (shock toggle works, not a connection problem)."
,TP-1,2,4,2,8,1,4,6,1,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't like those light-off contractions...
,TP-1,2,4,3,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,
2025_09_18_10_11_39_trial_1_TP,TP-1,3,5,1,4,4,5,2,5,6,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Light-off cons yet again
,TP-1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,1,
,TP-1,3,5,3,4,3,3,2,3,5,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,What is with the light-off cons?
2025_09_18_14_20_24_trial_1_TP,TP-1,3,6,1,1,2,0,7,3,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,TP-1,3,6,2,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,"Once again, no shock indicator or contractin behavior observed."
,TP-1,3,6,3,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,
2025_09_19_10_16_22_trial_1_TP,TP-1,4,7,1,5,6,2,3,8,5,1,0,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shock on for AM, and..."
,TP-1,4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,0,0,1,1,
,TP-1,4,7,3,2,5,4,4,6,6,1,0,0,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2025_09_19_13_34_06_trial_1_TP,TP-1,4,8,1,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,Shock off for PM. Guess the problem is tied to AM/PM?
,TP-1,4,8,2,8,3,3,10,5,3,2,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,TP-1,4,8,3,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,
(No footage),TP-2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I had accidentally disabled the toggle to save video footage when I ran this block.
,TP-2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,TP-2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2025_09_16_14_48_45_trial_1_TP,TP-2,1,2,1,3,6,7,6,0,9,1,1,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
